neighborhood,Elementary School,Elementary School Rating
Blmngtn,Fellows,9
Blueste,Edwards,7
BrDale,Fellows,9
BrkSide,Meeker,7
ClearCr,Fellows,9
CollgCr,Edwards,7
Crawfor,Edwards,7
Edwards,Edwards+Abbie Sawyer,8
Gilbert,Fellows,9
IDOTRR,Mitchell + Edwards +Fellows,7.666666667
MeadowV,Kate Mitchell,7
Mitchel,Kate Mitchell,7
Names,Fellows+Meeker,8
NoRidge,Fellows,9
NPkVill,Felows,9
NridgHt,Fellows,9
NWAmes,Fellows,9
OldTown,Meeker,7
SWISU,Mitchell + Edwards,7
Sawyer,Abbie Sawyer,8
SawyerW,Abbie Sawyer,8
Somerst,Fellows,9
StoneBr,Fellows,9
Timber,Kate Mitchell,7
Veenker,Fellows,9